title,price,location,bedrooms,bathrooms,listing_url,scraped_at
Studio Apartment with Swimming Pool at Wood Avenue,"KSh 4,800,000",Kilimani,,1 Bathrooms,https://www.buyrentkenya.com/listings/studio-apartment-for-sale-kilimani-3765713,2026-06-26T20:42:06.008952
3 Bed Apartment with En Suite in Kileleshwa,"KSh 10,000,000",Kileleshwa,3 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4017525,2026-06-26T20:42:06.095905
3 Bed Apartment with En Suite in Kilimani,"KSh 10,000,000",Kilimani,3 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4017523,2026-06-26T20:42:06.182746
4 Bed Apartment with En Suite in Lavington,"KSh 20,000,000",Lavington,4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-lavington-4017545,2026-06-26T20:42:06.270553
2 Bed Apartment with En Suite in Westlands Area,"KSh 7,000,000","Westlands Area, Westlands",2 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4017520,2026-06-26T20:42:06.359661
3 Bed Apartment with En Suite in Kizingo,"KSh 14,400,000","Kizingo, Mombasa Island",3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kizingo-22-3465855,2026-06-26T20:42:40.008692
Serviced 3 Bed Apartment with En Suite at Nyali,"KSh 40,000,000","Nyali Area, Nyali",3 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-nyali-area-3843193,2026-06-26T20:42:40.090151
Serviced 3 Bed Apartment with En Suite at Nyali Mombasa,"KSh 40,000,000","Nyali Area, Nyali",3 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-nyali-area-3856928,2026-06-26T20:42:40.166647
3 Bed Apartment with En Suite in Lavington,"KSh 10,000,000",Lavington,3 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-4017485,2026-06-26T20:42:40.247991
3 Bed Apartment with En Suite in Kileleshwa,"KSh 10,000,000",Kileleshwa,3 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4017484,2026-06-26T20:42:40.327146
